Year,Week,Winning Team,Winning Score,Losing Team,Losing Score
2012,Week 1,Avengers Athletics,96.92,The Brute Squad,78.12
2012,Week 1,The_Dark_Side,126.2,Fighting Americans,94.42
2012,Week 1,Black Bears,102.14,RoflStompers,101.7
2012,Week 1,ihavenoideawhattodo,108.96,Room 262,77.04
2012,Week 1,Sconstance,130.18,The Moose Whisperers,103.26
2012,Week 2,Fighting Americans,90.62,The Brute Squad,81.86
2012,Week 2,Sconstance,117.94,Avengers Athletics,92.4
2012,Week 2,Black Bears,107.56,The_Dark_Side,87.14
2012,Week 2,RoflStompers,110.14,Room 262,106.74
2012,Week 2,The Moose Whisperers,127.86,ihavenoideawhattodo,67.7
2012,Week 3,The Brute Squad,107.72,Black Bears,99.82
2012,Week 3,Avengers Athletics,104.92,Fighting Americans,69.14
2012,Week 3,Room 262,85.2,The_Dark_Side,81.92
2012,Week 3,The Moose Whisperers,123.8,RoflStompers,109.22
2012,Week 3,ihavenoideawhattodo,89.6,Sconstance,74.78
2012,Week 4,Room 262,158.7,The Brute Squad,90.36
2012,Week 4,Black Bears,99.36,Avengers Athletics,88.36
2012,Week 4,Fighting Americans,104.62,Sconstance,96.84
2012,Week 4,The Moose Whisperers,131.36,The_Dark_Side,64.08
2012,Week 4,RoflStompers,115.46,ihavenoideawhattodo,110.84
2012,Week 5,The Moose Whisperers,102,The Brute Squad,73.7
2012,Week 5,Room 262,80.22,Avengers Athletics,46.16
2012,Week 5,Fighting Americans,114.54,Black Bears,113.66
2012,Week 5,ihavenoideawhattodo,115.6,The_Dark_Side,108.7
2012,Week 5,RoflStompers,122.38,Sconstance,66.6
2012,Week 6,The Brute Squad,130.72,ihavenoideawhattodo,62.3
2012,Week 6,The Moose Whisperers,109.86,Avengers Athletics,80.32
2012,Week 6,Fighting Americans,124.88,Room 262,100.8
2012,Week 6,Sconstance,88.44,Black Bears,84.74
2012,Week 6,The_Dark_Side,107.72,RoflStompers,87.86
2012,Week 7,RoflStompers,95.2,The Brute Squad,82.08
2012,Week 7,ihavenoideawhattodo,108.38,Avengers Athletics,69.38
2012,Week 7,Fighting Americans,159.82,The Moose Whisperer,44.6
2012,Week 7,Black Bears,95.8,Room 262,83.46
2012,Week 7,The_Dark_Side,84.82,Sconstance,80.32
2012,Week 8,The_Dark_Side,133.18,The Brute Squad,97.24
2012,Week 8,RoflStompers,75.9,Avengers Athletics,60.68
2012,Week 8,Fighting Americans,87.58,ihavenoideawhattodo,82.22
2012,Week 8,Black Bears,103.28,The Moose Whisperer,100.38
2012,Week 8,Sconstance,109.04,Room 262,103.86
2012,Week 9,Sconstance,156.78,The Brute Squad,142.02
2012,Week 9,The_Dark_Side,100.34,Avengers Athletics,32.9
2012,Week 9,RoflStompers,88.74,Fighting Americans,86.6
2012,Week 9,Black Bears,95.8,ihavenoideawhattodo,55.86
2012,Week 9,The Moose Whisperers,110.98,Room 262,90.32
2012,Week 10,The Brute Squad,103.98,Avengers Athletics,46.7
2012,Week 10,Fighting Americans,122.14,The_Dark_Side,60.26
2012,Week 10,Black Bears,151.56,RoflStompers,115.26
2012,Week 10,ihavenoideawhattodo,79.92,Room 262,74.58
2012,Week 10,Sconstance,132.5,The Moose Whisperer,91.94
2012,Week 11,The Brute Squad,99.74,Fighting Americans,98.98
2012,Week 11,Sconstance,95.88,Avengers Athletics,82.5
2012,Week 11,Black Bears,89.34,The_Dark_Side,88.12
2012,Week 11,Room 262,100.74,RoflStompers,75.6
2012,Week 11,ihavenoideawhattodo,68.86,The Moose Whisperer,62.14
2012,Week 12,Black Bears,102.2,The Brute Squad,65.76
2012,Week 12,Avengers Athletics,136.86,Fighting Americans,123.96
2012,Week 12,Room 262,110.72,The_Dark_Side,80.2
2012,Week 12,The Moose Whisperers,105.52,RoflStompers,86
2012,Week 12,ihavenoideawhattodo,134.58,Sconstance,89.14
2012,Week 13,The Brute Squad,110.44,Room 262,69.62
2012,Week 13,Black Bears,165.82,Avengers Athletics,79.8
2012,Week 13,Sconstance,102.32,Fighting Americans,72.12
2012,Week 13,The_Dark_Side,108.38,The Moose Whisperer,81.9
2012,Week 13,RoflStompers,112.48,ihavenoideawhattodo,65.94
2012,Wild Card 1,The Moose Whisperers,98.18,RoflStompers,78.9
2012,Wild Card 2,Fighting Americans,79.38,ihavenoideawhattodo,74.26
2012,Consolation 1,The_Dark_Side,116.86,Avengers Athletics,58.74
2012,Consolation 2,The Brute Squad,112.24,Room 262,89.02
2012,Semi Final 1,The Moose Whisperers,109.8,Black Bears,74.34
2012,Semi Final 2,Sconstance,127.34,Fighting Americans,117.44
2012,5th Place,RoflStompers,96.56,ihavenoideawhattodo,84.48
2012,9th Place,Room 262,115.68,Avengers Athletics,77.9
2012,7th Place,The Brute Squad,139.58,The_Dark_Side,89.1
2012,3rd Place,Black Bears,112.42,Fighting Americans,96.9
2012,Championship,Sconstance,117.66,The Moose Whisperers,94.76
2013,Week 1,The Brute Squad,118.62,Non-fiction People,116.66
2013,Week 1,Grid Iron Anemia,134.22,Sconstance,117.92
2013,Week 1,The_Dark_Side,137.98,Black Bears,89.46
2013,Week 1,Fighting Americans,146.68,The Moose Whisperers,97.62
2013,Week 1,istilldontknowstuff,112.58,Avengers Athletics,83.18
2013,Week 2,The Brute Squad,103.74,Grid Iron Anemia,71.1
2013,Week 2,Non-fiction People,114.96,istilldontknowstuff,89.48
2013,Week 2,Sconstance,114.92,The_Dark_Side,97.28
2013,Week 2,Black Bears,126.9,Fighting Americans,89.58
2013,Week 2,The Moose Whisperers,124.9,Avengers Athletics,102.02
